bsim,2,10000000,4971541,0.497184,1365,478.5,305224,304745,6869.5
bsim,2,20000000,9932536,0.496683,1925.5,691.5,609349,608658,9685.5
bsim,2,30000000,14741542,0.491431,3289,631.5,1.2736e+06,1.27296e+06,16362.5
bsim,2,40000000,19593918,0.489878,4867,39.0128,2.1775e+06,2.17747e+06,24274.5
bsim,2,50000000,24655053,0.493101,4320,792,2.16162e+06,2.16083e+06,21568.5
bsim,2,60000000,28868231,0.481159,7843.5,1136,4.29928e+06,4.29814e+06,39297.5
bsim,2,70000000,35000661,0.500023,3803,42.0476,2.25035e+06,2.25031e+06,19042
bsim,2,80000000,39199017,0.489996,6882.5,272,4.35326e+06,4.35299e+06,34507
bsim,2,90000000,43301126,0.481139,9602.5,100,6.44085e+06,6.44076e+06,48039
bsim,4,10000000,7452363,0.745282,1178.95,885.356,146139,145558,5903.87
bsim,4,20000000,14904430,0.745305,1671.86,906.144,292149,291673,8411.87
bsim,4,30000000,22112820,0.737164,2848.65,1574.92,662006,661220,14128.7
bsim,4,40000000,29397865,0.734991,4214.66,1296.31,1.11731e+06,1.11692e+06,20987.9
bsim,4,50000000,36978475,0.73957,3744.12,1952.28,1.08834e+06,1.08692e+06,18662.7
bsim,4,60000000,43308844,0.721847,6792.09,1915.91,2.34841e+06,2.34748e+06,34060.4
bsim,4,70000000,52504704,0.750087,3290.9,2250.05,972633,971069,16421.7
bsim,4,80000000,58803148,0.735052,5969.08,2062.44,2.23551e+06,2.2342e+06,29837.1
bsim,4,90000000,64966304,0.72187,8324.09,2406.07,3.5229e+06,3.52202e+06,41647.2
bsim,8,10000000,8736116,0.873665,733.196,1267.55,42959.5,42740.3,3664.83
bsim,8,20000000,17473248,0.87376,1033.04,2030.06,86098.2,85669.1,5176.48
bsim,8,30000000,26158403,0.872029,1793,2362.3,185920,185466,8919.54
bsim,8,40000000,34872011,0.871853,2660.8,2756.24,306263,305952,13230.3
bsim,8,50000000,43620069,0.872401,2346.18,2845.75,307230,306775,11712.5
