bsim,2,10000000,0.496917,61.5,5519
bsim,2,20000000,0.496872,125.501,7800
bsim,2,30000000,0.491575,899.5,13078.5
bsim,2,40000000,0.49,115.004,19441
bsim,2,50000000,0.493022,1036,17183
bsim,2,60000000,0.481259,1537,31518
bsim,2,70000000,0.500029,792,15157
bsim,2,80000000,0.490011,72,27605
bsim,2,90000000,0.481244,1018,38511.5
bsim,4,10000000,0.745326,771.557,4729.95
bsim,4,20000000,0.745163,1134.48,6736.52
bsim,4,30000000,0.737227,1383.19,11296.6
bsim,4,40000000,0.735031,1413.55,16782.2
bsim,4,50000000,0.739476,1664.21,14876.7
bsim,4,60000000,0.72184,2002.83,27311.3
bsim,4,70000000,0.75012,2100.61,13170.5
bsim,4,80000000,0.734966,2083.02,23894.4
bsim,4,90000000,0.721823,3299.73,33240.6
bsim,8,10000000,0.873626,1283.98,2942.11
bsim,8,20000000,0.873762,2187.3,4160.59
bsim,8,30000000,0.872041,2312.58,7124.79
bsim,8,40000000,0.871995,3295.89,10557.1
bsim,8,50000000,0.872425,3172.77,9371.82
bsim,8,60000000,0.871216,3957.67,17557.7
bsim,8,70000000,0.874802,3448.72,8015.2
bsim,8,80000000,0.871889,4104.56,15077.1
bsim,8,90000000,0.87124,4275.22,21415.7
metis,2,10000000,0.476385,10729.5,202
metis,2,20000000,0.480053,52445.5,1054
metis,2,30000000,0.47626,1.607e+06,32221
metis,2,40000000,0.474419,3.07855e+06,61715.5
metis,2,50000000,0.479449,2.33616e+06,46779.5
metis,2,60000000,0.459027,1.04402e+07,208722
metis,2,70000000,0.485528,10528,177
metis,2,80000000,0.476096,6.77344e+06,135452
metis,2,90000000,0.459539,1.62758e+07,325585
metis,4,10000000,0.721124,16452.7,318.702
metis,4,20000000,0.725726,86307.4,1719.04
metis,4,30000000,0.721757,1.04247e+06,20930.4
metis,4,40000000,0.720772,1.78934e+06,35894.7
metis,4,50000000,0.725154,1.46928e+06,29405.1
metis,4,60000000,0.717064,5.22969e+06,104543
metis,4,70000000,0.732305,43139,895.359
metis,4,80000000,0.723009,3.76492e+06,75288
metis,4,90000000,0.718283,8.09734e+06,161979
metis,8,10000000,0.848014,15123.8,304.077
metis,8,20000000,0.85246,23999.8,478.985
metis,8,30000000,0.851477,521913,10463.1
metis,8,40000000,0.851622,900164,18051.2
metis,8,50000000,0.854247,739996,14826.1
metis,8,60000000,0.849285,2.60506e+06,52079.2
metis,8,70000000,0.858697,23081.5,457.266
metis,8,80000000,0.85417,1.87385e+06,37467.2
metis,8,90000000,0.850553,4.04516e+06,80906.4
model,2,10000000,0.476284,2202.5,2
model,2,20000000,0.480107,3325.5,1
model,2,30000000,0.47736,120520,24
model,2,40000000,0.476134,160633,18.5
model,2,50000000,0.480184,117060,7.5
model,2,60000000,0.468753,644346,27
model,2,70000000,0.485478,3480,26
model,2,80000000,0.478,236544,29.5
model,2,90000000,0.469515,801916,33.5
model,4,10000000,0.721094,956.398,8.25757
model,4,20000000,0.725682,2526.02,8.39643
model,4,30000000,0.722288,163577,12.7867
model,4,40000000,0.720578,250047,11.8401
model,4,50000000,0.725652,170108,16.1303
model,4,60000000,0.714788,554782,27.9766
model,4,70000000,0.732322,2234.96,7.98044
model,4,80000000,0.722538,382529,24.0884
model,4,90000000,0.71502,721772,29.9948
model,8,10000000,0.84811,1699.48,4.65698
model,8,20000000,0.852493,3268.06,9.22547
model,8,30000000,0.851629,81644.2,11.6806
model,8,40000000,0.851473,126159,17.7042
model,8,50000000,0.854596,85912,15.7594
model,8,60000000,0.849362,277184,17.8168
model,8,70000000,0.858689,1389.39,14.4995
model,8,80000000,0.853912,193102,21.0698
model,8,90000000,0.850263,361154,28.572
