bsim,2,10000000,4998863,0.500002,1182.5,19.5,2.49943e+06,2.49941e+06,5880
bsim,2,20000000,9996585,0.500004,1669.5,85,4.99829e+06,4.99821e+06,8308
bsim,2,30000000,14997275,0.500007,2092.5,211,7.49864e+06,7.49843e+06,10303.5
bsim,2,40000000,19997786,0.500007,2420.5,290,9.99889e+06,9.9986e+06,11922.5
bsim,2,50000000,24996445,0.500001,2645.5,42,1.24982e+07,1.24982e+07,13202
bsim,2,60000000,30000265,0.500034,1,2040,1.49984e+07,1.49964e+07,8632
bsim,2,70000000,34996331,0.500003,3280.5,210.01,1.74982e+07,1.7498e+07,15946.5
bsim,2,80000000,39993265,0.500003,3428.5,264,1.99966e+07,1.99964e+07,16871
bsim,2,90000000,44996080,0.500001,3632.5,126.016,2.2498e+07,2.24979e+07,17891.5
bsim,4,10000000,7495905,0.749764,602.752,1454.58,643929,642781,2320.65
bsim,4,20000000,14987267,0.749626,834.818,1136.4,1.28968e+06,1.28874e+06,4212.56
bsim,4,30000000,22491535,0.749865,1049.76,1098.28,1.93005e+06,1.92925e+06,5194.66
bsim,4,40000000,29986609,0.749759,1228.89,2880.17,2.58003e+06,2.57795e+06,4688.12
bsim,4,50000000,37500763,0.750123,1397.5,3034.63,3.21438e+06,3.21207e+06,5223.54
bsim,4,60000000,44948506,0.749186,1546.33,3653.85,3.89023e+06,3.8879e+06,5819.09
bsim,4,70000000,52392128,0.748542,1829.26,3647.83,4.56428e+06,4.56141e+06,6563.48
bsim,4,80000000,59997979,0.750106,1865.39,4194.39,5.15443e+06,5.15114e+06,6758.21
bsim,4,90000000,67499015,0.750056,1816.25,4002.49,5.78758e+06,5.78432e+06,6964.12
bsim,8,10000000,8745149,0.874717,521.284,2330.98,170794,169535,1567.18
bsim,8,20000000,17482319,0.874422,748.819,3285.79,343797,341703,2245.23
bsim,8,30000000,26237163,0.874743,903.779,3924.06,510660,508779,2720.53
bsim,8,40000000,34982713,0.874677,1063.37,4554.24,685498,682691,3187.75
bsim,8,50000000,43749661,0.875119,1210.13,5849.57,848985,845080,3539.18
bsim,8,60000000,52426868,0.873832,1340.8,6249.14,1.04761e+06,1.04355e+06,3995.7
bsim,8,70000000,61090175,0.872814,1583.75,6132.92,1.24627e+06,1.24272e+06,4592.17
bsim,8,80000000,69998004,0.875128,1613.23,7286.24,1.36402e+06,1.35978e+06,4648.21
