10,0.86845,0.22464,0.41646,0.05592
20,0.92722,0.30230,0.41947,0.05504
30,0.97592,0.35554,0.42359,0.05339
40,1.00072,0.41672,0.42144,0.05578
50,1.02591,0.49287,0.42240,0.06274
60,1.06769,0.53035,0.42727,0.06511
70,1.08496,0.57989,0.42722,0.06939
80,1.12548,0.64496,0.43362,0.07947
90,1.15524,0.68809,0.43979,0.08435
100,1.17226,0.72891,0.44250,0.08778
