20000000,2.40734,0.58630,0.59124,0.07100,5.68865,0.59521,0.71200,0.08187,8.51220,0.60538,0.81880,0.08001
40000000,2.72015,0.59187,0.85714,0.07851,6.55365,0.59543,1.11756,0.08136,9.77287,0.60915,1.37930,0.08064
60000000,2.91034,0.59627,1.10399,0.09009,7.03927,0.59038,1.50056,0.08809,10.4275,0.61427,1.96957,0.08767
80000000,3.10396,0.59826,1.33519,0.09515,7.45429,0.58851,1.89535,0.09308,11.0729,0.61306,2.95333,0.09483
100000000,3.26800,0.58846,1.53625,0.10707,7.85315,0.58349,2.27138,0.10693,11.7135,0.61678,3.37548,0.10650
120000000,3.43008,0.59054,1.75255,0.11725,8.29694,0.58176,2.62209,0.11500,12.3799,0.61284,4.06395,0.11636
140000000,3.56149,0.58656,2.01192,0.12714,8.62161,0.59397,3.04321,0.12000,12.8380,0.61964,4.83651,0.11224
160000000,3.70848,0.59053,2.20250,0.12934,9.02971,0.59206,3.46433,0.12500,13.4674,0.62598,5.43882,0.12459
180000000,3.85420,0.58465,2.37580,0.13414,9.30231,0.60745,3.77508,0.12960,13.9507,0.62556,6.05571,0.13093
200000000,3.96742,0.57879,2.61127,0.14290,9.63744,0.60062,4.29299,0.13864,14.4659,0.63279,6.76878,0.13944
