20,2.40734,0.59124,5.68865 , 0.71200,8.51220 , 0.81880
40,2.72015,0.85714,6.55365 , 1.11756,9.77287 , 1.37930
60,2.91034,1.10399,7.03927 , 1.50056,10.4275 , 1.96957
80,3.10396,1.33519,7.45429 , 1.88597,11.0729 , 2.95333
100,3.26800,1.53625,7.85315 , 2.27138,11.7135 , 3.37548
120,3.43008,1.75255,8.29694 , 2.62209,12.3799 , 4.06395
140,3.56149,2.01192,8.62161 , 3.04321,12.8380 , 4.83651
160,3.70848,2.20250,9.02971 , 3.46433,13.4674 , 5.43882
180,3.85420,2.37580,9.30231 , 3.77508,13.9507 , 6.05571
200,3.96742,2.61127,9.63744 , 4.29299,14.4659 , 6.76878




















